DD MM YY London Bristol Liverpool Manchester Newcastle Birmingham Sheffield
26  4 58  294  62 150  47   1   96   5
 3  5 58  283  42 125  39   1  126   1
10  5 58  349  65 140  39   1   88   2
17  5 58  436  72 115  32   5   94   1
24  5 58  596  88 189  24   0   83   1
31  5 58  549 102 131  55   0   91   3
 7  6 58  592 131 185  38   5  102   8
14  6 58  457 129 169  63   3  131   8
21  6 58  515 125 237  62   5  103  15
28  6 58  475 155 218  74   3  147   7
 5  7 58  483  99 263  99   4  176   9
12  7 58  537  89 300  97   2  172  14
19  7 58  568 122 253  79   2  229  15
26  7 58  508 106 257  96   2  258  16
 2  8 58  461 111 241 119   4  238  13
 9  8 58  318  92 196  92   0  193   7
16  8 58  283 102 166  84   3  170  19
23  8 58  221  76 129  65   6   93  18
30  8 58  199  35  73  61   7   70  11
 6  9 58  118  36  74  54   7   58  12
13  9 58   94  25  61  40   6   44   4
20  9 58  100   9  50  52   2   30   3
27  9 58  120  26  41  60   3   36   6
 4 10 58  122  24  56  88   2   24   4
11 10 58  164  28  70  67   4   30   6
18 10 58  198  20  53  85   3   39  18
25 10 58  243  38 108  34   2   46  16
 1 11 58  300  29  79  87   1   47  19
 8 11 58  307  29 101  69   0   56  23
15 11 58  326  25 138  81   5   36  33
22 11 58  387  27 128  89   0   47  24
29 11 58  398  27 109  99   4   58  61
 6 12 58  561  33 136 116  15   69  48
13 12 58  633  36 143 117  26   85  53
20 12 58  666  42 233  73  32   94  88
27 12 58  617  74 117  74  16   31  69
 3  1 59 1466  45 360 133  65  159 206
10  1 59 1068  44 296 158  99  144 209
17  1 59 1001  32 277 125  79  149 185
24  1 59  983  40 189 178  95  188 214
31  1 59 1302  43 226 219  57  284 195
 7  2 59 1438  70 217 242 169  382 289
14  2 59 1400  76 213 276 238  525 348
21  2 59 1561 164 252 215 354  536 434
28  2 59 1419 126 252 224 225  647 326
 7  3 59 1360 162 165 315 278  582 380
14  3 59 1485 166 103 268 292  531 306
21  3 59 1262 133 169 280 365  587 379
28  3 59 1360 175 140 226 374  501 300
 4  4 59 1388 193 188 332 340  725 288
11  4 59 1376 232 157 319 419  739 257
18  4 59  972 141 143 363 295  504 205
25  4 59  695 199 115 217 217  414 150
 2  5 59  675 287 150 234 208  378 169
 9  5 59  638 344  96 266 244  339 150
16  5 59  719 327 157 255 188  430 224
23  5 59  673 297 147 286 168  332 229
30  5 59  687 289 141 233 134  372 284
 6  6 59  572 202 154 234 117  352 245
13  6 59  585 240 127 237  87  240 269
20  6 59  405 167 161 142  83  284 278
27  6 59  404 215 141 190 154  248 238
 4  7 59  342 214 139 138 142  192 255
11  7 59  310 155 130 146  80  194 190
18  7 59  197 137 164  96  69  113 176
25  7 59  180 112 110  87  30  119 144
 1  8 59  133  96  97  83  22  119 108
 8  8 59  117  47  72  57  18   75  57
15  8 59  113  66  69  49  17   53  54
22  8 59   90  41  41  39  14   51  30
29  8 59   68  18  42  23   9   32  26
 5  9 59   43  19  40   7   2   24  13
12  9 59   32   5  28  10  11   15   9
19  9 59   29   8  14   7   6   22   5
26  9 59   20   5  22  18   4   16   2
 3 10 59   26  11  24  29   9   10   6
10 10 59   36   8  37  20   2    8  18
17 10 59   25   6  39  11   2   15  11
24 10 59   26   4  56  19   0    9  12
31 10 59   15   0  94  19   4   16   6
 7 11 59   22   2  69  14   0   31  18
14 11 59   19   2  82  14   1   21   2
21 11 59   16   2  66   5   2    7   7
28 11 59   19   3  85  11   1   26  21
 5 12 59   26   2  83  11   1   10   8
12 12 59   16   2  84  12   1    5   7
19 12 59   23   2  71  16   2    6  16
26 12 59   18   1  37   8   2    7  12
 2  1 60   19   2  78  20   5   16   8
 9  1 60   17   4  51  15   8   17   6
16  1 60   17   1  66  19   2   15   5
23  1 60   16   2  46  19   3    5   4
30  1 60   29   0  61  13   1    2   2
 6  2 60   44   3  55  22   2    6   2
13  2 60   34   3  66  22   0    4   0
20  2 60   47   0 141  36   0    5   2
27  2 60   60   2  78  62   1    4   3
 5  3 60   95   2 136  54   1    3   4
12  3 60   90   3 134  61   2    8   8
19  3 60  100   2 147  51   0    3   4
26  3 60   83   4 137  53   2    8   9
 2  4 60   86   3 188  97   0    6   0
 9  4 60   70   7 218  67   0    2   1
16  4 60   81   5 191  77   1    1   1
23  4 60   96   7 150  89   1    6   0
30  4 60  112   5 222  75   2    4   1
 7  5 60  106   1 123  63   0    3   2
14  5 60   93   6 159  80   4   10   4
21  5 60   88   2 210  94   3    4   3
28  5 60   99   1 188  96   1    5   6
 4  6 60  137   3 291 115   4    6   6
11  6 60  146   7 221  82   2    6   2
18  6 60  122   6 383 124   5    9   8
25  6 60  134  16 234 109   3    4  10
 2  7 60  134   3 294 118   6    4  10
 9  7 60  101  20 293 143   5    9  13
16  7 60  107   5 256 105   5   17  12
23  7 60  163  20 254 132   2   19  19
30  7 60  139   7 210 101   2   14  40
 6  8 60  147  20 208  96   6    9  18
